Ticker,Weight,Position
GOOG,0.200,Long
JNJ,0.185,Long
WMT,0.181,Long
CAT,-0.180,Short
MRK,0.142,Long
PFE,0.112,Long
KO,0.101,Long
JPM,0.092,Long
XOM,0.088,Long
MS,0.085,Long
NVDA,-0.081,Short
MMM,-0.074,Short
MSFT,0.067,Long
GS,-0.060,Short
HD,0.059,Long
GE,0.057,Long
IBM,0.024,Long
PG,-0.014,Short
BAC,0.013,Long
AAPL,0.002,Long
